model_name,learning_rate,batch_size,Precision(macro),Precision(micro),Recall(macro),Recall(micro),F1(macro),F1(micro),Accuracy
ViT_1,5e-05,2,0.52,0.63,0.54,0.63,0.51,0.63,0.63
ViT_2,5e-05,8,0.58,0.65,0.53,0.65,0.55,0.65,0.65
ViT_3,5e-05,16,0.55,0.65,0.52,0.65,0.52,0.65,0.65
ViT_4,3e-05,2,0.59,0.67,0.53,0.67,0.55,0.67,0.67
ViT_5,3e-05,8,0.61,0.67,0.56,0.67,0.57,0.67,0.67
ViT_6,3e-05,16,0.61,0.67,0.53,0.67,0.55,0.67,0.67
ViT_7,3e-05,64,0.53,0.63,0.51,0.63,0.51,0.63,0.63
ViT_8,2e-05,2,0.6,0.67,0.55,0.67,0.56,0.67,0.67
ViT_9,2e-05,8,0.54,0.65,0.56,0.65,0.54,0.65,0.65
ViT_10,2e-05,16,0.52,0.66,0.52,0.66,0.51,0.66,0.66
ViT_11,2e-05,64,0.52,0.66,0.44,0.66,0.45,0.66,0.66
ViT_12,5e-06,2,0.52,0.66,0.48,0.66,0.49,0.66,0.66
ViT_13,5e-06,8,0.49,0.64,0.42,0.64,0.44,0.64,0.64
ViT_14,5e-06,16,0.47,0.64,0.38,0.64,0.39,0.64,0.64
